everyDayHour,"avg(cpu)"
"05/30/19_02","3.7018832391713743"
"05/30/19_03","2.5036851851851853"
"05/30/19_04","6.611018518518519"
"05/30/19_05","4.149"
"05/30/19_06","5.042166666666667"
"05/30/19_07","8.722388888888888"
"05/30/19_08","12.251666666666665"
"05/30/19_09","15.993796296296296"
"05/30/19_10","23.140481481481483"
"05/30/19_11","24.244351851851853"
"05/30/19_12","24.510944444444444"
"05/30/19_13","26.616759259259258"
"05/30/19_14","26.318092592592592"
"05/30/19_15","27.16398148148148"
"05/30/19_16","16.7852962962963"
"05/30/19_17","11.133962962962963"
"05/30/19_18","13.36325925925926"
"05/30/19_19","6.459629629629629"
"05/30/19_20","5.8313148148148155"
"05/30/19_21","4.161092592592592"
"05/30/19_22","2.9873634651600756"
"05/30/19_23","6.847759259259259"
"05/31/19_00","5.032222222222222"
"05/31/19_01","4.013611111111111"
"05/31/19_02","11.060296296296295"
"05/31/19_03","4.032425925925926"
"05/31/19_04","2.839314814814815"
"05/31/19_05","4.2467962962962975"
"05/31/19_06","14.862222222222224"
"05/31/19_07","20.302703703703706"
"05/31/19_08","18.71653703703704"
"05/31/19_09","20.488314814814817"
"05/31/19_10","23.250444444444444"
"05/31/19_11","20.565277777777776"
"05/31/19_12","22.11435185185185"
"05/31/19_13","20.922462962962964"
"05/31/19_14","22.354888888888887"
"05/31/19_15","15.851277777777776"
"05/31/19_16","22.86637037037037"
"05/31/19_17","19.81887037037037"
"05/31/19_18","5.899148148148149"
"05/31/19_19","5.122259259259258"
"05/31/19_20","1.4687222222222223"
"05/31/19_21","2.6597037037037037"
"05/31/19_22","2.2373333333333334"
"05/31/19_23","1.8381544256120528"
"06/01/19_00","2.321407407407407"
"06/01/19_01","2.3476296296296297"
"06/01/19_02","1.1570185185185184"
"06/01/19_03","2.8417037037037036"
"06/01/19_04","1.4774444444444443"
"06/01/19_05","1.6532962962962963"
"06/01/19_06","1.123"
"06/01/19_07","1.857611111111111"
"06/01/19_08","2.084481481481481"
"06/01/19_09","2.835555555555555"
"06/01/19_10","2.2348888888888894"
"06/01/19_11","2.9419629629629633"
"06/01/19_12","3.022351851851852"
"06/01/19_13","2.171462962962963"
"06/01/19_14","1.657462962962963"
"06/01/19_15","2.0570185185185186"
"06/01/19_16","1.6835555555555555"
"06/01/19_17","3.3255925925925927"
"06/01/19_18","2.6327962962962963"
"06/01/19_19","1.9568703703703705"
"06/01/19_20","2.468981481481481"
"06/01/19_21","2.65887037037037"
"06/01/19_22","2.326703703703704"
"06/01/19_23","1.1008148148148147"
"06/02/19_00","1.3435555555555558"
"06/02/19_01","1.532611111111111"
"06/02/19_02","1.0720903954802259"
"06/02/19_03","1.1929074074074075"
"06/02/19_04","1.1092962962962962"
"06/02/19_05","2.638888888888889"
"06/02/19_06","1.3930740740740741"
"06/02/19_07","1.6300000000000001"
"06/02/19_08","2.4348148148148145"
"06/02/19_09","2.0748333333333333"
"06/02/19_10","2.473222222222222"
"06/02/19_11","4.140666666666667"
"06/02/19_12","2.4634074074074075"
"06/02/19_13","2.148037037037037"
"06/02/19_14","2.4331666666666663"
"06/02/19_15","2.681148148148148"
"06/02/19_16","2.2503518518518515"
"06/02/19_17","1.8366666666666667"
"06/02/19_18","2.2467777777777775"
"06/02/19_19","1.8096851851851852"
"06/02/19_20","2.354222222222222"
"06/02/19_21","2.417240740740741"
"06/02/19_22","2.7543518518518515"
"06/02/19_23","2.783888888888889"
"06/03/19_00","3.5766481481481485"
"06/03/19_01","5.182777777777778"
"06/03/19_02","4.644814814814815"
"06/03/19_03","16.118888888888886"
"06/03/19_04","16.62792843691149"
"06/03/19_05","13.891462962962962"
"06/03/19_06","4.580259259259259"
"06/03/19_07","8.288"
"06/03/19_08","11.949481481481481"
"06/03/19_09","19.269314814814816"
"06/03/19_10","26.15994444444444"
"06/03/19_11","25.52724074074074"
"06/03/19_12","23.99037037037037"
"06/03/19_13","25.57633333333333"
"06/03/19_14","20.72474074074074"
"06/03/19_15","25.280018518518517"
"06/03/19_16","22.397203703703703"
"06/03/19_17","21.553666666666665"
"06/03/19_18","17.84035185185185"
"06/03/19_19","8.402296296296296"
"06/03/19_20","2.798481481481481"
"06/03/19_21","4.469518518518519"
"06/03/19_22","2.519407407407408"
"06/03/19_23","4.091944444444445"
"06/04/19_00","3.5004444444444442"
"06/04/19_01","5.824574074074075"
"06/04/19_02","5.482851851851851"
"06/04/19_03","5.28712962962963"
"06/04/19_04","4.976779661016949"
"06/04/19_05","4.394092592592592"
"06/04/19_06","6.590740740740741"
"06/04/19_07","8.138425925925926"
"06/04/19_08","18.57990740740741"
"06/04/19_09","18.43327777777778"
"06/04/19_10","24.2292037037037"
"06/04/19_11","25.476"
"06/04/19_12","23.251592592592594"
"06/04/19_13","31.182925925925925"
"06/04/19_14","25.75775925925926"
"06/04/19_15","21.671555555555557"
"06/04/19_16","25.083314814814816"
"06/04/19_17","14.423925925925928"
"06/04/19_18","7.333703703703703"
"06/04/19_19","6.703388888888889"
"06/04/19_20","4.594537037037037"
"06/04/19_21","4.154925925925926"
"06/04/19_22","3.5264074074074077"
"06/04/19_23","2.0138333333333334"
"06/05/19_00","3.173722222222222"
"06/05/19_01","2.729814814814815"
"06/05/19_02","3.4757407407407404"
"06/05/19_03","3.7204444444444444"
"06/05/19_04","2.925425925925926"
"06/05/19_05","3.4692090395480224"
"06/05/19_06","5.768851851851852"
"06/05/19_07","15.440925925925926"
"06/05/19_08","21.641611111111114"
"06/05/19_09","23.845537037037037"
"06/05/19_10","28.09824074074074"
"06/05/19_11","24.09616666666667"
"06/05/19_12","26.34609259259259"
"06/05/19_13","24.239148148148146"
"06/05/19_14","22.91787037037037"
"06/05/19_15","25.562870370370373"
"06/05/19_16","23.182314814814813"
"06/05/19_17","22.355314814814815"
"06/05/19_18","18.42090740740741"
"06/05/19_19","17.62437037037037"
"06/05/19_20","5.898425925925926"
"06/05/19_21","4.779037037037036"
"06/05/19_22","7.636648148148148"
"06/05/19_23","8.200962962962961"
"06/06/19_00","3.140092592592593"
"06/06/19_01","3.949277777777778"
"06/06/19_02","4.341277777777778"
"06/06/19_03","4.779370370370371"
"06/06/19_04","6.668333333333334"
"06/06/19_05","12.50101851851852"
"06/06/19_06","17.060094161958567"
"06/06/19_07","20.457203703703705"
"06/06/19_08","22.592425925925927"
"06/06/19_09","26.090685185185183"
"06/06/19_10","25.627962962962965"
"06/06/19_11","28.851222222222223"
"06/06/19_12","27.09340740740741"
"06/06/19_13","25.231685185185185"
"06/06/19_14","29.019981481481487"
"06/06/19_15","25.471722222222226"
"06/06/19_16","23.35185185185185"
"06/06/19_17","22.409925925925926"
"06/06/19_18","21.672277777777776"
"06/06/19_19","18.21859259259259"
"06/06/19_20","17.37375925925926"
"06/06/19_21","15.32690740740741"
"06/06/19_22","16.650833333333335"
"06/06/19_23","13.993314814814815"
"06/07/19_00","5.495240740740741"
"06/07/19_01","5.504092592592594"
"06/07/19_02","6.555537037037037"
"06/07/19_03","6.4272222222222215"
"06/07/19_04","11.244037037037039"
"06/07/19_05","16.811148148148146"
"06/07/19_06","16.035703703703707"
"06/07/19_07","17.35133709981168"
"06/07/19_08","24.245740740740743"
"06/07/19_09","23.081518518518518"
"06/07/19_10","26.209648148148148"
"06/07/19_11","24.397555555555552"
"06/07/19_12","22.9537037037037"
"06/07/19_13","23.85335185185185"
"06/07/19_14","23.99662962962963"
"06/07/19_15","25.154555555555557"
"06/07/19_16","22.744907407407407"
"06/07/19_17","20.439574074074073"
"06/07/19_18","16.12698148148148"
"06/07/19_19","16.02701851851852"
"06/07/19_20","15.153314814814815"
"06/07/19_21","7.086833333333333"
"06/07/19_22","4.032314814814814"
"06/07/19_23","5.709388888888889"
"06/08/19_00","0.5076111111111111"
"06/08/19_01","1.597851851851852"
"06/08/19_02","0.25007407407407406"
"06/08/19_03","0.19885185185185186"
"06/08/19_04","0.2456666666666667"
"06/08/19_05","0.2362037037037037"
"06/08/19_06","3.9602037037037032"
"06/08/19_07","2.4402777777777778"
"06/08/19_08","1.5241619585687383"
"06/08/19_09","1.7794074074074075"
"06/08/19_10","2.324851851851852"
"06/08/19_11","1.582611111111111"
"06/08/19_12","2.977481481481482"
"06/08/19_13","2.3503148148148147"
"06/08/19_14","1.1397962962962964"
"06/08/19_15","1.92412962962963"
"06/08/19_16","1.0003703703703704"
"06/08/19_17","1.5551666666666668"
"06/08/19_18","1.1581296296296295"
"06/08/19_19","0.8549814814814813"
"06/08/19_20","1.0111666666666665"
"06/08/19_21","2.182888888888889"
"06/08/19_22","1.2705"
"06/08/19_23","0.5269074074074075"
"06/09/19_00","0.6769444444444443"
"06/09/19_01","1.4804259259259258"
"06/09/19_02","1.6040925925925924"
"06/09/19_03","1.3047592592592594"
"06/09/19_04","3.122814814814815"
"06/09/19_05","2.7479629629629625"
"06/09/19_06","1.089351851851852"
"06/09/19_07","1.7049999999999998"
"06/09/19_08","1.221425925925926"
"06/09/19_09","0.8256481481481482"
"06/09/19_10","2.099425925925926"
"06/09/19_11","1.0005084745762711"
"06/09/19_12","1.8604259259259261"
"06/09/19_13","1.6701111111111113"
