n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
152,0.4502654,0.0015347602548932441,0.5302859999999999,0.006505944819932002
153,0.449468,0.0015284665518093563,0.5297834,0.006536907238136388
154,0.4486012,0.0014759981571804278,0.5292962,0.006643199572495176
155,0.4477298,0.0015134383898923643,0.5287824,0.0067102856153818165
156,0.4469624,0.0014616343728853605,0.5283064000000001,0.006800458178681788
157,0.4461366,0.001477464936978199,0.5278769999999999,0.00678602021806596
158,0.44533560000000005,0.001560971056746407,0.527504,0.00679757477340263
159,0.4445296000000001,0.0015719832823538674,0.5270004,0.006716235868401293
160,0.44376620000000006,0.0016132473337960329,0.5266332,0.00670136402234649
161,0.44295,0.0016049295311632793,0.5262394,0.0066513405746511075
162,0.4420692,0.0016337372371345346,0.5258506,0.006747759379230996
163,0.4413653999999999,0.0016962193961867086,0.5254958000000001,0.006710312672297766
164,0.4405054,0.0016870277531801248,0.525147,0.006683165806711676
165,0.43975479999999995,0.0016953387154194333,0.5247704,0.0066696646572372694
166,0.4389538,0.0017239586305941403,0.5242798000000001,0.006729987144118461
167,0.4381508,0.0017134825823450926,0.523843,0.006716401715204355
168,0.437418,0.001737043465201727,0.523475,0.006718183236560309
169,0.4366844,0.0017075011683743994,0.5231424,0.006760191760593782
170,0.43590999999999996,0.0016514954435298864,0.5227104,0.006800353420227523
171,0.4351546,0.0016956474397704388,0.5223058,0.006772710458893083
172,0.4344246,0.0017342787088585271,0.5219590000000001,0.006793964880686396
173,0.4336646,0.00168526147526134,0.5215854,0.006778968729829066
174,0.43301719999999994,0.0016776314732383836,0.5212892,0.006837761779997881
175,0.432262,0.0017213953642321788,0.5209201999999999,0.006872519578728008
176,0.43154339999999997,0.0017390678652657594,0.5205396,0.006894279820256802
177,0.43084819999999996,0.0016633312838998764,0.5201978,0.006936659639913152
178,0.4301254,0.0016670055308846481,0.5198753999999999,0.00691305387220439
179,0.4294036,0.0016632205626434698,0.5196032,0.006922664931946389
180,0.42867440000000007,0.0017098931662533675,0.5193012,0.0069223487748017965
181,0.42798119999999995,0.0017087462538364223,0.519048,0.006983841235308812
182,0.4272712,0.0017039164768262592,0.5187296,0.007022793307509491
183,0.4265671999999999,0.0017116491930299306,0.5183998,0.006992033077724951
184,0.4258132,0.00173981520857819,0.5180304,0.006907539376652143
185,0.42519460000000003,0.0017782504435540007,0.5177461999999999,0.006959739058326822
186,0.4245298,0.0017870012199212473,0.5174467999999999,0.006990176919077235
187,0.42383160000000003,0.0017930832217161708,0.5170541999999999,0.0070298187857155865
188,0.4231234,0.001846337520606669,0.5167202000000001,0.007121116524815463
189,0.4224328,0.001834225656782731,0.516445,0.007232417051027945
190,0.421737,0.001860669019465848,0.5161764,0.007310280722379963
191,0.4210228,0.0018242527675736242,0.515835,0.007265020880905989
192,0.42030020000000007,0.0018037102206285907,0.515463,0.007214703625236422
193,0.41962320000000003,0.0017509728039007389,0.5151323999999999,0.007187859308584154
194,0.4189514,0.0017555522891671423,0.5148849999999999,0.007223739751679855
195,0.41834479999999996,0.0017328073637885965,0.5146336,0.007244040574154749
196,0.4177098,0.0017844088544949706,0.5143862,0.007273290628044508
